"","n.var","range.average","cons.average","n.monom","i.density","a.mod","coeff.average","diff.quadratic","diff.linear","range.var","density.var","coeff.var","i.tree","a.density","n.linear","average.perc","n.vardegree","diff.monom","density","i.transit","a.tree","monom.div","cons.var","perc.one","n.linear.1","quad.monom","monom.cons","degree","i.mod","n.constr","range.q50","perc.two","n.quadratic","n.varcons"
"3",3.3322045101752,0.680749213831383,1,5.94017125272043,0.0502645502645503,0.131578947368421,1.612879352302,0.416666666666667,0.583333333333333,-1.98181124638336,-5.39390497756903,2.17402993841937,0.69314768055982,-1.3672120305184,0.555555555555556,1.56861612624716,2.63905732961526,1.56861591791385,0.110599,0.15,2.30258509299405,0.736842105263158,-9.97625532745455,0.964285714285714,0.555555555555556,0.263157894736842,3.63758615972639,0.693147180559945,0.664819944598338,2.19722468844732,0.690644551594834,0.0357142857142857,0.444444444444444,1.02961941718116
"4",3.3322045101752,0.662872050388228,1,6.18414889093748,0.0978835978835979,0.202359443086407,1.5686889393027,0.594202898550725,0.405797101449275,-2.11671323223761,-5.43210007277872,2.10154001544259,1.38629461111986,-1.68801015367366,0.555555555555556,1.93152155653074,2.63905732961526,1.93152141160321,0.158986,0.103448275862069,2.30258509299405,0.577319587628866,-9.97625532745455,0.857142857142857,0.555555555555556,0.422680412371134,3.88156379794344,0.693147180559945,0.456172388604821,2.19722468844732,0.628609192755565,0.142857142857143,0.444444444444444,1.02961941718116
"5",3.3322045101752,0.673490971115577,1,7.16549347506085,0.510582010582011,0.163708854802453,1.58219060972457,0.878787878787879,0.121212121212121,-1.90677263024578,-5.97478977669575,2.12242403801995,2.89037181345172,-2.67051266444952,0.555555555555556,3.13549425940741,2.63905732961526,3.13983261752775,0.532258,0.511189634864546,2.30258509299405,0.216383307573416,-9.97625532745455,0.642857142857143,0.555555555555556,0.783616692426584,4.8629083820668,0.693147180559945,0.105559880802169,2.19722468844732,0.649718144825684,0.357142857142857,0.444444444444444,1.02961941718116
"6",3.3322045101752,0.695287745059056,1,7.7445698093545,1,0.10472137104118,1.62255548407159,0.935483870967742,0.0645161290322581,-1.89822857092168,-7.48811356849042,2.09543139248198,3.29583690304137,-3.12825993497237,0.555555555555556,3.76815265810313,2.63905732961526,3.77045944110636,1,1,2.30258509299405,0.121264616717194,-9.97625532745455,0,0.555555555555556,0.878735383282806,5.44198471636045,0.693147180559945,0,2.19722468844732,0.683097349756821,1,0.444444444444444,1.02961941718116
"8",3.3322045101752,0.716270618388442,1,6.52502965784346,0.00529100529100529,0.0183606952124595,1.58859462653849,0.0666666666666667,0.933333333333333,-1.69438320014864,-5.8765798786141,2.07908218307348,9.99999499918067e-07,-0.71430372871717,0.826086956521739,0.22314435131389,2.63905732961526,0.22314355131421,0.0691244,0,3.17805383034795,0.98533724340176,-9.97625532745455,1,0.826086956521739,0.0146627565982405,3.34697582749552,0.693147180559945,0.5,3.13549425940741,0.700619691676439,0,0.173913043478261,0.154150679827258
"9",3.3322045101752,0.714524198105233,0.708333333333333,6.20657592672493,0.00793650793650794,0.083181581685744,1.61826976430193,0.125,0.875,-2.01828715296288,-5.75304489524407,2.16996080710335,9.99999499918067e-07,-1.07113831279345,0.826086956521739,0.2876828224515,2.63905732961526,0.287682072451781,0.0737327,0,3.13549421592915,0.959677419354839,-4.52488998844719,0.964285714285714,0.826086956521739,0.0403225806451613,3.02852209637698,0.693147180559945,0.666666666666667,3.13549425940741,0.72513071067438,0.0357142857142857,0.173913043478261,0.154150679827258
"10",3.3322045101752,0.689031580226258,1,6.53958595561767,0.0105820105820106,0.0360854021183468,1.60832457614218,0.125,0.875,-1.59403169732315,-5.48458007604124,2.12714138166429,9.99999499918067e-07,-0.768791986237416,0.826086956521739,0.2876828224515,2.63905732961526,0.287682072451781,0.0737327,0,3.17805383034795,0.971098265895954,-9.97625532745455,1,0.826086956521739,0.0289017341040462,3.36153212526972,0.693147180559945,0.40625,3.13549425940741,0.688135141248838,0,0.173913043478261,0.154150679827258
"11",3.3322045101752,0.692611322728064,0.708333333333333,6.35610766069589,0.0502645502645503,0.178510501060957,1.59782561099482,0.416666666666667,0.583333333333333,-1.79521100623632,-5.55477144501774,2.09758424467654,9.99999499918067e-07,-1.38438738681415,0.826086956521739,0.69314768055982,2.63905732961526,0.693147180559945,0.110599,0,3.13549421592915,0.826388888888889,-4.44485719694882,0.964285714285714,0.826086956521739,0.173611111111111,3.17805383034795,0.693147180559945,0.775623268698061,3.13549425940741,0.625938965625711,0.0357142857142857,0.173913043478261,0.154150679827258
"12",3.3322045101752,0.683637823891939,1,6.64898455002478,0.0502645502645503,0.162084888184918,1.61041153157737,0.416666666666667,0.583333333333333,-1.86382972406683,-5.42957228248464,2.17475848039992,9.99999499918067e-07,-1.12832456377371,0.826086956521739,0.69314768055982,2.63905732961526,0.693147180559945,0.110599,0,3.17805383034795,0.870466321243523,-9.97625532745455,0.964285714285714,0.826086956521739,0.129533678756477,3.47093071967683,0.693147180559945,0.729916897506925,3.13549425940741,0.722706468238265,0.0357142857142857,0.173913043478261,0.154150679827258
"13",3.3322045101752,0.648971353941259,0.708333333333333,6.52356230614951,0.0925925925925926,0.275917983616561,1.62916855533647,0.594202898550725,0.405797101449275,-1.84158720482193,-5.18646632712086,2.16266971700395,1.38629461111986,-1.67871046804399,0.826086956521739,1.05605302207534,2.63905732961526,1.05605267424931,0.158986,0.1,3.13549421592915,0.698972099853157,-4.50824327925003,0.785714285714286,0.826086956521739,0.301027900146843,3.34550847580157,0.693147180559945,0.493469387755102,3.13549425940741,0.678034050363981,0.214285714285714,0.173913043478261,0.154150679827258
"14",3.3322045101752,0.72305266333885,0.998511904761905,6.77536609093639,0.103174603174603,0.270936281562102,1.59390233271131,0.594202898550725,0.405797101449275,-1.92480521109252,-5.21105425937211,2.13646886989086,1.60943811243408,-1.46651690274091,0.826086956521739,1.05605302207534,2.63905732961526,1.05605267424931,0.158986,0.162162162162162,3.17805383034795,0.765981735159817,-7.66899735628648,0.928571428571429,0.826086956521739,0.234018264840183,3.59731226058845,0.693147180559945,0.413872452333991,3.13549425940741,0.765468307255743,0.0714285714285714,0.173913043478261,0.154150679827258
"15",3.3322045101752,0.694218035561438,0.708333333333333,7.30720231476474,0.494708994708995,0.30240913399017,1.61292077382646,0.878787878787879,0.121212121212121,-1.94436730281786,-5.86352178492384,2.12557939437408,2.89037181345172,-2.64955936837469,0.826086956521739,2.26436398406995,2.63905732961526,2.26436388017385,0.532258,0.494423791821561,3.13549421592915,0.31924882629108,-4.77970758572555,0.428571428571429,0.826086956521739,0.68075117370892,4.12914848441679,0.693147180559945,0.111255683605479,3.13549425940741,0.705570194385541,0.571428571428571,0.173913043478261,0.154150679827258
"16",3.3322045101752,0.649531107664242,1,7.4301141385618,0.494708994708995,0.376098467738644,1.63144428280174,0.878787878787879,0.121212121212121,-2.11149853397056,-5.76512216898829,2.14118470992738,2.89037181345172,-2.55865625303095,0.826086956521739,2.26002558292307,2.63905732961526,2.26436388017385,0.532258,0.496305418719212,3.17805383034795,0.398576512455516,-9.97625532745455,0.428571428571429,0.826086956521739,0.601423487544484,4.25206030821386,0.693147180559945,0.103591752695244,3.13549425940741,0.649718144825684,0.571428571428571,0.173913043478261,0.154150679827258
"17",3.3322045101752,0.718188164517714,0.708333333333333,7.82604401351897,1,0.215726311847363,1.60662437731522,0.935483870967742,0.0645161290322581,-1.54987481866964,-7.48811356849042,2.15449623350314,3.29583690304137,-3.11497368051919,0.826086956521739,2.89268395308179,2.63905732961526,2.89499070375246,1,1,3.13549421592915,0.19001996007984,-4.29223154429808,0,0.826086956521739,0.80998003992016,4.64799018317102,0.693147180559945,0,3.13549425940741,0.753772272964505,1,0.173913043478261,0.154150679827258
"18",3.3322045101752,0.698490024970441,1,7.90137735379262,1,0.294576816270963,1.62267753695482,0.935483870967742,0.0645161290322581,-1.81696042608285,-7.48811356849042,2.1200633017368,3.29583690304137,-3.06291061947219,0.826086956521739,2.89268395308179,2.63905732961526,2.89499070375246,1,1,3.17805383034795,0.248796741947427,-9.97625532745455,0,0.826086956521739,0.751203258052573,4.72332352344467,0.693147180559945,0,3.13549425940741,0.705570194385541,1,0.173913043478261,0.154150679827258
"21",3.3322045101752,0.685438977116626,0.794117647058823,5.98645200528444,0.00793650793650794,0.067785535718795,1.6014614613436,0.125,0.875,-1.48598809446002,-5.75304489524407,2.03485521160194,9.99999499918067e-07,-1.02679530235253,0.75,0.632523089993369,2.63905732961526,0.63252255874351,0.0737327,0,2.77258872223978,0.949748743718593,-4.69506179280486,0.964285714285714,0.75,0.050251256281407,3.15323866122822,0.693147180559945,0.666666666666667,2.77258878473978,0.657520521051375,0.0357142857142857,0.25,0.498991166118988
"23",3.3322045101752,0.71923255103562,0.794117647058823,6.16961073249146,0.044973544973545,0.170556800476182,1.57168390556787,0.416666666666667,0.583333333333333,-1.48607402956845,-5.17924397818992,2.12679516410341,0.69314768055982,-1.36750260104399,0.75,1.03798802101828,2.63905732961526,1.03798766685167,0.110599,0.142857142857143,2.77258872223978,0.790794979079498,-4.44755241973475,0.892857142857143,0.75,0.209205020920502,3.33639738843524,0.693147180559945,0.626297577854671,2.77258878473978,0.729961635610257,0.107142857142857,0.25,0.498991166118988
"24",3.3322045101752,0.629750864001151,1,6.35610766069589,0.0529100529100529,0.173008294753086,1.67815389373865,0.416666666666667,0.583333333333333,-1.81965645717516,-5.217753681093,2.11691795103846,9.99999499918067e-07,-1.20499856109763,0.75,1.03798802101828,2.63905732961526,1.03798766685167,0.110599,0,2.83321334405622,0.826388888888889,-9.97625532745455,1,0.75,0.173611111111111,3.52289431663968,0.693147180559945,0.58875,2.77258878473978,0.604316513301268,0,0.25,0.498991166118988
"25",3.3322045101752,0.68687756754635,0.794117647058823,6.36818718635049,0.105820105820106,0.258260785138678,1.63622847757451,0.594202898550725,0.405797101449275,-1.44912341090324,-5.51001120758901,2.16114591665813,1.09861262200139,-1.67703406058641,0.75,1.40089340691782,2.63905732961526,1.40089316054104,0.158986,0.0625,2.83321334405622,0.648370497427101,-4.33384613761477,0.964285714285714,0.75,0.351629502572899,3.53497384229428,0.693147180559945,0.5184375,2.77258878473978,0.695644559511525,0.0357142857142857,0.25,0.498991166118988
"26",3.3322045101752,0.681291464183576,1,6.52356230614951,0.100529100529101,0.275917983616561,1.62946797636209,0.594202898550725,0.405797101449275,-1.76924378113634,-5.38581521423263,2.10087315135996,1.38629461111986,-1.54670601270222,0.75,1.40089340691782,2.63905732961526,1.40089316054104,0.158986,0.0989010989010989,2.83321334405622,0.698972099853157,-9.97625532745455,0.892857142857143,0.75,0.301027900146843,3.6903489620933,0.693147180559945,0.466759002770083,2.77258878473978,0.688135141248838,0.107142857142857,0.25,0.498991166118988
"27",3.3322045101752,0.653068956992535,0.794117647058823,7.23849684089437,0.494708994708995,0.244038182058396,1.61965707024327,0.878787878787879,0.121212121212121,-1.91546755911608,-5.96875337690791,2.0850823175763,2.83321340287974,-2.65905348830193,0.75,2.60486603878002,2.63905732961526,2.60920436646558,0.532258,0.493116395494368,2.77258872223978,0.271551724137931,-4.7375182327814,0.428571428571429,0.75,0.728448275862069,4.40528349683815,0.693147180559945,0.119405759386886,2.77258878473978,0.647103765618611,0.571428571428571,0.25,0.498991166118988
"28",3.3322045101752,0.725648943464482,1,7.30720231476474,0.507936507936508,0.30240913399017,1.61963523949594,0.878787878787879,0.121212121212121,-2.01055281388726,-5.86583395523624,2.10451165459729,2.89037181345172,-2.60844350737591,0.75,2.60920444005865,2.63905732961526,2.60920436646558,0.532258,0.496258369436786,2.83321334405622,0.31924882629108,-9.97625532745455,0.607142857142857,0.75,0.68075117370892,4.47398897070852,0.693147180559945,0.0947943793402778,2.77258878473978,0.72513071067438,0.392857142857143,0.25,0.498991166118988
